global_case_index,suite,suite_case_index,case_id,case_name,benchmark,source_name,base_formula_id,target_component,failure_mode,structure_type,feature_names,true_variables,true_variable_positions,true_expression,fn_name,noise_level,dimension,true_variable_count,interference_type,proxy_variables,proxy_variable_positions,nonlinear_decoy_variables,nonlinear_decoy_positions,n_train,n_val,n_test,seed,proxy_strength,decoy_noise,split_dir,train_path,val_path,test_path,train_clean_path,val_clean_path
11,component_ablation,11,balanced_011_srsd_energy_like_k4,balanced_011_srsd_energy_like_k4,SRSD,SRSD-style energy relation,srsd_energy_like_k4,balanced,moderate_unified_component_ablation,polynomial_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x1|x3|x4|x16,1|3|4|16,x1*x3**2 + 0.1*sin(x4) - 0.3*x16,srsd_energy_like_k4,0.0,20,4,moderate_mixed_distractors,x2|x5|x6,2|5|6,x7|x8|x9,7|8|9,128,128,1024,50011,0.25,0.1,suites/component_ablation/balanced_011_srsd_energy_like_k4,suites/component_ablation/balanced_011_srsd_energy_like_k4/train.csv,suites/component_ablation/balanced_011_srsd_energy_like_k4/val.csv,suites/component_ablation/balanced_011_srsd_energy_like_k4/test.csv,,
12,component_ablation,12,balanced_012_livermore_rational_interaction_k4,balanced_012_livermore_rational_interaction_k4,Livermore,Livermore-style rational interaction,livermore_rational_interaction_k4,balanced,moderate_unified_component_ablation,rational_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x6|x7|x13|x15,6|7|13|15,x6*x7/(1 + x13**2) + sin(x15),livermore_rational_interaction_k4,0.0,20,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x8,4|5|8,128,128,1024,50012,0.25,0.1,suites/component_ablation/balanced_012_livermore_rational_interaction_k4,suites/component_ablation/balanced_012_livermore_rational_interaction_k4/train.csv,suites/component_ablation/balanced_012_livermore_rational_interaction_k4/val.csv,suites/component_ablation/balanced_012_livermore_rational_interaction_k4/test.csv,,
13,component_ablation,13,balanced_013_feynman_trig_interaction_k2,balanced_013_feynman_trig_interaction_k2,Feynman,Feynman-style trigonometric interaction,feynman_trig_interaction_k2,balanced,moderate_unified_component_ablation,trig_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x1|x12,1|12,1.25*x1 + sin(x12) + 0.35*x1*x12,feynman_trig_interaction_k2,0.0,16,2,moderate_mixed_distractors,x2|x3,2|3,x4|x5,4|5,128,128,1024,50013,0.35,0.14,suites/component_ablation/balanced_013_feynman_trig_interaction_k2,suites/component_ablation/balanced_013_feynman_trig_interaction_k2/train.csv,suites/component_ablation/balanced_013_feynman_trig_interaction_k2/val.csv,suites/component_ablation/balanced_013_feynman_trig_interaction_k2/test.csv,,
14,component_ablation,14,balanced_014_nguyen_rational_k2,balanced_014_nguyen_rational_k2,Nguyen,Nguyen-style rational,nguyen_rational_k2,balanced,moderate_unified_component_ablation,rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x5|x12,5|12,x5/(1 + x12**2) + 0.5*x12,nguyen_rational_k2,0.0,16,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50014,0.35,0.14,suites/component_ablation/balanced_014_nguyen_rational_k2,suites/component_ablation/balanced_014_nguyen_rational_k2/train.csv,suites/component_ablation/balanced_014_nguyen_rational_k2/val.csv,suites/component_ablation/balanced_014_nguyen_rational_k2/test.csv,,
15,component_ablation,15,balanced_015_livermore_exp_trig_k2,balanced_015_livermore_exp_trig_k2,Livermore,Livermore-style exp-trig mix,livermore_exp_trig_k2,balanced,moderate_unified_component_ablation,exp_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x10|x12,10|12,exp(0.3*x10) - cos(x12),livermore_exp_trig_k2,0.0,16,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50015,0.35,0.14,suites/component_ablation/balanced_015_livermore_exp_trig_k2,suites/component_ablation/balanced_015_livermore_exp_trig_k2/train.csv,suites/component_ablation/balanced_015_livermore_exp_trig_k2/val.csv,suites/component_ablation/balanced_015_livermore_exp_trig_k2/test.csv,,
16,component_ablation,16,balanced_016_srsd_log_sqrt_k2,balanced_016_srsd_log_sqrt_k2,SRSD,SRSD-style log-sqrt relation,srsd_log_sqrt_k2,balanced,moderate_unified_component_ablation,log_sqrt,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x7|x9,7|9,log(1 + x7**2) + sqrt(1 + x9**2),srsd_log_sqrt_k2,0.0,16,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50016,0.35,0.14,suites/component_ablation/balanced_016_srsd_log_sqrt_k2,suites/component_ablation/balanced_016_srsd_log_sqrt_k2/train.csv,suites/component_ablation/balanced_016_srsd_log_sqrt_k2/val.csv,suites/component_ablation/balanced_016_srsd_log_sqrt_k2/test.csv,,
17,component_ablation,17,balanced_017_feynman_sparse_interaction_k3,balanced_017_feynman_sparse_interaction_k3,Feynman,Feynman-style sparse interaction,feynman_sparse_interaction_k3,balanced,moderate_unified_component_ablation,sparse_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x10|x18|x19,10|18|19,sin(x10) + x18*x19 + 0.25*x19**2,feynman_sparse_interaction_k3,0.0,20,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50017,0.35,0.14,suites/component_ablation/balanced_017_feynman_sparse_interaction_k3,suites/component_ablation/balanced_017_feynman_sparse_interaction_k3/train.csv,suites/component_ablation/balanced_017_feynman_sparse_interaction_k3/val.csv,suites/component_ablation/balanced_017_feynman_sparse_interaction_k3/test.csv,,
18,component_ablation,18,balanced_018_friedman_core_k3,balanced_018_friedman_core_k3,Friedman/PMLB-FRI,Friedman-1 core,friedman_core_k3,balanced,moderate_unified_component_ablation,friedman_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x8|x14|x16,8|14|16,10*sin(pi*x8*x14) + 20*(x16 - 0.5)**2,friedman_core_k3,0.0,20,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50018,0.35,0.14,suites/component_ablation/balanced_018_friedman_core_k3,suites/component_ablation/balanced_018_friedman_core_k3/train.csv,suites/component_ablation/balanced_018_friedman_core_k3/val.csv,suites/component_ablation/balanced_018_friedman_core_k3/test.csv,,
19,component_ablation,19,balanced_019_srsd_exp_log_k3,balanced_019_srsd_exp_log_k3,SRSD,SRSD-style exp-log mix,srsd_exp_log_k3,balanced,moderate_unified_component_ablation,exp_log,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x6|x7|x11,6|7|11,exp(0.2*x6) + log(1 + x7**2) + x11,srsd_exp_log_k3,0.0,20,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50019,0.35,0.14,suites/component_ablation/balanced_019_srsd_exp_log_k3,suites/component_ablation/balanced_019_srsd_exp_log_k3/train.csv,suites/component_ablation/balanced_019_srsd_exp_log_k3/val.csv,suites/component_ablation/balanced_019_srsd_exp_log_k3/test.csv,,
20,component_ablation,20,balanced_020_nguyen_trig_poly_k3,balanced_020_nguyen_trig_poly_k3,Nguyen,Nguyen-style trig-polynomial mix,nguyen_trig_poly_k3,balanced,moderate_unified_component_ablation,trig_polynomial,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x3|x14|x20,3|14|20,x3**2 + x14*sin(x20) + 0.5*x3*x14,nguyen_trig_poly_k3,0.0,20,3,moderate_mixed_distractors,x1|x2,1|2,x4|x5|x6,4|5|6,128,128,1024,50020,0.35,0.14,suites/component_ablation/balanced_020_nguyen_trig_poly_k3,suites/component_ablation/balanced_020_nguyen_trig_poly_k3/train.csv,suites/component_ablation/balanced_020_nguyen_trig_poly_k3/val.csv,suites/component_ablation/balanced_020_nguyen_trig_poly_k3/test.csv,,
21,component_ablation,21,balanced_021_feynman_rational_trig_k4,balanced_021_feynman_rational_trig_k4,Feynman,Feynman-style rational-trig mix,feynman_rational_trig_k4,balanced,moderate_unified_component_ablation,rational_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x4|x11|x13|x23,4|11|13|23,(x4 + 0.5*x11**2)/(1 + x13**2) + 0.4*cos(x23),feynman_rational_trig_k4,0.0,24,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x5|x6|x7,5|6|7,128,128,1024,50021,0.35,0.14,suites/component_ablation/balanced_021_feynman_rational_trig_k4,suites/component_ablation/balanced_021_feynman_rational_trig_k4/train.csv,suites/component_ablation/balanced_021_feynman_rational_trig_k4/val.csv,suites/component_ablation/balanced_021_feynman_rational_trig_k4/test.csv,,
22,component_ablation,22,balanced_022_friedman2_safe_k4,balanced_022_friedman2_safe_k4,Friedman/PMLB-FRI,Friedman-2 safe-range motif,friedman2_safe_k4,balanced,moderate_unified_component_ablation,sqrt_rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x6|x10|x11|x22,6|10|11|22,sqrt(x6**2 + (x10*x11 - 1/(x10*x22))**2),friedman2_safe_k4,0.0,24,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x7,4|5|7,128,128,1024,50022,0.35,0.14,suites/component_ablation/balanced_022_friedman2_safe_k4,suites/component_ablation/balanced_022_friedman2_safe_k4/train.csv,suites/component_ablation/balanced_022_friedman2_safe_k4/val.csv,suites/component_ablation/balanced_022_friedman2_safe_k4/test.csv,,
23,component_ablation,23,balanced_023_srsd_energy_like_k4,balanced_023_srsd_energy_like_k4,SRSD,SRSD-style energy relation,srsd_energy_like_k4,balanced,moderate_unified_component_ablation,polynomial_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x6|x8|x18|x21,6|8|18|21,x6*x8**2 + 0.1*sin(x18) - 0.3*x21,srsd_energy_like_k4,0.0,24,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x7,4|5|7,128,128,1024,50023,0.35,0.14,suites/component_ablation/balanced_023_srsd_energy_like_k4,suites/component_ablation/balanced_023_srsd_energy_like_k4/train.csv,suites/component_ablation/balanced_023_srsd_energy_like_k4/val.csv,suites/component_ablation/balanced_023_srsd_energy_like_k4/test.csv,,
24,component_ablation,24,balanced_024_livermore_rational_interaction_k4,balanced_024_livermore_rational_interaction_k4,Livermore,Livermore-style rational interaction,livermore_rational_interaction_k4,balanced,moderate_unified_component_ablation,rational_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x10|x14|x17|x20,10|14|17|20,x10*x14/(1 + x17**2) + sin(x20),livermore_rational_interaction_k4,0.0,24,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x6,4|5|6,128,128,1024,50024,0.35,0.14,suites/component_ablation/balanced_024_livermore_rational_interaction_k4,suites/component_ablation/balanced_024_livermore_rational_interaction_k4/train.csv,suites/component_ablation/balanced_024_livermore_rational_interaction_k4/val.csv,suites/component_ablation/balanced_024_livermore_rational_interaction_k4/test.csv,,
25,component_ablation,25,balanced_025_feynman_trig_interaction_k2,balanced_025_feynman_trig_interaction_k2,Feynman,Feynman-style trigonometric interaction,feynman_trig_interaction_k2,balanced,moderate_unified_component_ablation,trig_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x1|x15,1|15,1.25*x1 + sin(x15) + 0.35*x1*x15,feynman_trig_interaction_k2,0.0,20,2,moderate_mixed_distractors,x2|x3,2|3,x4|x5,4|5,128,128,1024,50025,0.45,0.18,suites/component_ablation/balanced_025_feynman_trig_interaction_k2,suites/component_ablation/balanced_025_feynman_trig_interaction_k2/train.csv,suites/component_ablation/balanced_025_feynman_trig_interaction_k2/val.csv,suites/component_ablation/balanced_025_feynman_trig_interaction_k2/test.csv,,
26,component_ablation,26,balanced_026_nguyen_rational_k2,balanced_026_nguyen_rational_k2,Nguyen,Nguyen-style rational,nguyen_rational_k2,balanced,moderate_unified_component_ablation,rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x6|x14,6|14,x6/(1 + x14**2) + 0.5*x14,nguyen_rational_k2,0.0,20,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50026,0.45,0.18,suites/component_ablation/balanced_026_nguyen_rational_k2,suites/component_ablation/balanced_026_nguyen_rational_k2/train.csv,suites/component_ablation/balanced_026_nguyen_rational_k2/val.csv,suites/component_ablation/balanced_026_nguyen_rational_k2/test.csv,,
27,component_ablation,27,balanced_027_livermore_exp_trig_k2,balanced_027_livermore_exp_trig_k2,Livermore,Livermore-style exp-trig mix,livermore_exp_trig_k2,balanced,moderate_unified_component_ablation,exp_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x6|x10,6|10,exp(0.3*x6) - cos(x10),livermore_exp_trig_k2,0.0,20,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50027,0.45,0.18,suites/component_ablation/balanced_027_livermore_exp_trig_k2,suites/component_ablation/balanced_027_livermore_exp_trig_k2/train.csv,suites/component_ablation/balanced_027_livermore_exp_trig_k2/val.csv,suites/component_ablation/balanced_027_livermore_exp_trig_k2/test.csv,,
28,component_ablation,28,balanced_028_srsd_log_sqrt_k2,balanced_028_srsd_log_sqrt_k2,SRSD,SRSD-style log-sqrt relation,srsd_log_sqrt_k2,balanced,moderate_unified_component_ablation,log_sqrt,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x16|x19,16|19,log(1 + x16**2) + sqrt(1 + x19**2),srsd_log_sqrt_k2,0.0,20,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50028,0.45,0.18,suites/component_ablation/balanced_028_srsd_log_sqrt_k2,suites/component_ablation/balanced_028_srsd_log_sqrt_k2/train.csv,suites/component_ablation/balanced_028_srsd_log_sqrt_k2/val.csv,suites/component_ablation/balanced_028_srsd_log_sqrt_k2/test.csv,,
29,component_ablation,29,balanced_029_feynman_sparse_interaction_k3,balanced_029_feynman_sparse_interaction_k3,Feynman,Feynman-style sparse interaction,feynman_sparse_interaction_k3,balanced,moderate_unified_component_ablation,sparse_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x8|x11|x16,8|11|16,sin(x8) + x11*x16 + 0.25*x16**2,feynman_sparse_interaction_k3,0.0,24,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50029,0.45,0.18,suites/component_ablation/balanced_029_feynman_sparse_interaction_k3,suites/component_ablation/balanced_029_feynman_sparse_interaction_k3/train.csv,suites/component_ablation/balanced_029_feynman_sparse_interaction_k3/val.csv,suites/component_ablation/balanced_029_feynman_sparse_interaction_k3/test.csv,,
30,component_ablation,30,balanced_030_friedman_core_k3,balanced_030_friedman_core_k3,Friedman/PMLB-FRI,Friedman-1 core,friedman_core_k3,balanced,moderate_unified_component_ablation,friedman_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x8|x15|x16,8|15|16,10*sin(pi*x8*x15) + 20*(x16 - 0.5)**2,friedman_core_k3,0.0,24,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50030,0.45,0.18,suites/component_ablation/balanced_030_friedman_core_k3,suites/component_ablation/balanced_030_friedman_core_k3/train.csv,suites/component_ablation/balanced_030_friedman_core_k3/val.csv,suites/component_ablation/balanced_030_friedman_core_k3/test.csv,,
31,component_ablation,31,balanced_031_srsd_exp_log_k3,balanced_031_srsd_exp_log_k3,SRSD,SRSD-style exp-log mix,srsd_exp_log_k3,balanced,moderate_unified_component_ablation,exp_log,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x6|x8|x9,6|8|9,exp(0.2*x6) + log(1 + x8**2) + x9,srsd_exp_log_k3,0.0,24,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50031,0.45,0.18,suites/component_ablation/balanced_031_srsd_exp_log_k3,suites/component_ablation/balanced_031_srsd_exp_log_k3/train.csv,suites/component_ablation/balanced_031_srsd_exp_log_k3/val.csv,suites/component_ablation/balanced_031_srsd_exp_log_k3/test.csv,,
32,component_ablation,32,balanced_032_nguyen_trig_poly_k3,balanced_032_nguyen_trig_poly_k3,Nguyen,Nguyen-style trig-polynomial mix,nguyen_trig_poly_k3,balanced,moderate_unified_component_ablation,trig_polynomial,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x1|x12|x17,1|12|17,x1**2 + x12*sin(x17) + 0.5*x1*x12,nguyen_trig_poly_k3,0.0,24,3,moderate_mixed_distractors,x2|x3,2|3,x4|x5|x6,4|5|6,128,128,1024,50032,0.45,0.18,suites/component_ablation/balanced_032_nguyen_trig_poly_k3,suites/component_ablation/balanced_032_nguyen_trig_poly_k3/train.csv,suites/component_ablation/balanced_032_nguyen_trig_poly_k3/val.csv,suites/component_ablation/balanced_032_nguyen_trig_poly_k3/test.csv,,
33,component_ablation,33,balanced_033_feynman_rational_trig_k4,balanced_033_feynman_rational_trig_k4,Feynman,Feynman-style rational-trig mix,feynman_rational_trig_k4,balanced,moderate_unified_component_ablation,rational_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24|x25|x26|x27|x28,x3|x6|x8|x17,3|6|8|17,(x3 + 0.5*x6**2)/(1 + x8**2) + 0.4*cos(x17),feynman_rational_trig_k4,0.0,28,4,moderate_mixed_distractors,x1|x2|x4,1|2|4,x5|x7|x9,5|7|9,128,128,1024,50033,0.45,0.18,suites/component_ablation/balanced_033_feynman_rational_trig_k4,suites/component_ablation/balanced_033_feynman_rational_trig_k4/train.csv,suites/component_ablation/balanced_033_feynman_rational_trig_k4/val.csv,suites/component_ablation/balanced_033_feynman_rational_trig_k4/test.csv,,
