id,split,dimension,target_expression,data_csv,image
SmartGen-26_run_001,1d,1,-3.0*cos(x1),csv/1d/SmartGen-26/SmartGen-26_run_001.csv,images/1d/SmartGen-26/SmartGen-26_run_001.png
SmartGen-27_run_001,1d,1,3.0*x1**2,csv/1d/SmartGen-27/SmartGen-27_run_001.csv,images/1d/SmartGen-27/SmartGen-27_run_001.png
SmartGen-28_run_001,1d,1,2.5*x1**5,csv/1d/SmartGen-28/SmartGen-28_run_001.csv,images/1d/SmartGen-28/SmartGen-28_run_001.png
SmartGen-29_run_001,1d,1,-3.0*cos(x1),csv/1d/SmartGen-29/SmartGen-29_run_001.csv,images/1d/SmartGen-29/SmartGen-29_run_001.png
SmartGen-30_run_001,1d,1,3.0*cos(x1),csv/1d/SmartGen-30/SmartGen-30_run_001.csv,images/1d/SmartGen-30/SmartGen-30_run_001.png
SmartGen-31_run_001,1d,1,2.5*x1**4,csv/1d/SmartGen-31/SmartGen-31_run_001.csv,images/1d/SmartGen-31/SmartGen-31_run_001.png
SmartGen-32_run_001,1d,1,-1.2*x1**2,csv/1d/SmartGen-32/SmartGen-32_run_001.csv,images/1d/SmartGen-32/SmartGen-32_run_001.png
SmartGen-33_run_001,1d,1,-3.0*x1**3,csv/1d/SmartGen-33/SmartGen-33_run_001.csv,images/1d/SmartGen-33/SmartGen-33_run_001.png
SmartGen-34_run_001,1d,1,3.0*sin(x1),csv/1d/SmartGen-34/SmartGen-34_run_001.csv,images/1d/SmartGen-34/SmartGen-34_run_001.png
SmartGen-35_run_001,1d,1,-3.0*x1**4,csv/1d/SmartGen-35/SmartGen-35_run_001.csv,images/1d/SmartGen-35/SmartGen-35_run_001.png
SmartGen-36_run_001,1d,1,-1.2*x1**3,csv/1d/SmartGen-36/SmartGen-36_run_001.csv,images/1d/SmartGen-36/SmartGen-36_run_001.png
SmartGen-37_run_001,1d,1,1.8*x1**5,csv/1d/SmartGen-37/SmartGen-37_run_001.csv,images/1d/SmartGen-37/SmartGen-37_run_001.png
SmartGen-38_run_001,1d,1,1.1*x1**3,csv/1d/SmartGen-38/SmartGen-38_run_001.csv,images/1d/SmartGen-38/SmartGen-38_run_001.png
SmartGen-39_run_001,1d,1,3.0*cos(x1),csv/1d/SmartGen-39/SmartGen-39_run_001.csv,images/1d/SmartGen-39/SmartGen-39_run_001.png
SmartGen-40_run_001,1d,1,-3.0*x1,csv/1d/SmartGen-40/SmartGen-40_run_001.csv,images/1d/SmartGen-40/SmartGen-40_run_001.png
SmartGen-41_run_001,1d,1,-2.5*x1**3,csv/1d/SmartGen-41/SmartGen-41_run_001.csv,images/1d/SmartGen-41/SmartGen-41_run_001.png
SmartGen-42_run_001,1d,1,1.1*sin(x1),csv/1d/SmartGen-42/SmartGen-42_run_001.csv,images/1d/SmartGen-42/SmartGen-42_run_001.png
SmartGen-43_run_001,1d,1,1.8*x1**5,csv/1d/SmartGen-43/SmartGen-43_run_001.csv,images/1d/SmartGen-43/SmartGen-43_run_001.png
SmartGen-44_run_001,1d,1,-2.5*x1**2,csv/1d/SmartGen-44/SmartGen-44_run_001.csv,images/1d/SmartGen-44/SmartGen-44_run_001.png
SmartGen-45_run_001,1d,1,1.1*x1**2,csv/1d/SmartGen-45/SmartGen-45_run_001.csv,images/1d/SmartGen-45/SmartGen-45_run_001.png
SmartGen-46_run_001,1d,1,-3.0*x1**2,csv/1d/SmartGen-46/SmartGen-46_run_001.csv,images/1d/SmartGen-46/SmartGen-46_run_001.png
SmartGen-47_run_001,1d,1,-2.5*x1**2,csv/1d/SmartGen-47/SmartGen-47_run_001.csv,images/1d/SmartGen-47/SmartGen-47_run_001.png
SmartGen-48_run_001,1d,1,-2.5*cos(x1),csv/1d/SmartGen-48/SmartGen-48_run_001.csv,images/1d/SmartGen-48/SmartGen-48_run_001.png
SmartGen-49_run_001,1d,1,-3.0*x1**3,csv/1d/SmartGen-49/SmartGen-49_run_001.csv,images/1d/SmartGen-49/SmartGen-49_run_001.png
SmartGen-50_run_001,1d,1,3.0*sin(x1),csv/1d/SmartGen-50/SmartGen-50_run_001.csv,images/1d/SmartGen-50/SmartGen-50_run_001.png
SmartGen-51_run_001,1d,1,-3.0*x1,csv/1d/SmartGen-51/SmartGen-51_run_001.csv,images/1d/SmartGen-51/SmartGen-51_run_001.png
SmartGen-52_run_001,1d,1,-1.2*sqrt(x1),csv/1d/SmartGen-52/SmartGen-52_run_001.csv,images/1d/SmartGen-52/SmartGen-52_run_001.png
SmartGen-53_run_001,1d,1,3.0*x1**5,csv/1d/SmartGen-53/SmartGen-53_run_001.csv,images/1d/SmartGen-53/SmartGen-53_run_001.png
SmartGen-54_run_001,1d,1,1.1*x1**4,csv/1d/SmartGen-54/SmartGen-54_run_001.csv,images/1d/SmartGen-54/SmartGen-54_run_001.png
SmartGen-55_run_001,1d,1,-2.5*x1**5,csv/1d/SmartGen-55/SmartGen-55_run_001.csv,images/1d/SmartGen-55/SmartGen-55_run_001.png
SmartGen-56_run_001,1d,1,1.8*x1**2,csv/1d/SmartGen-56/SmartGen-56_run_001.csv,images/1d/SmartGen-56/SmartGen-56_run_001.png
SmartGen-57_run_001,1d,1,2.5*x1,csv/1d/SmartGen-57/SmartGen-57_run_001.csv,images/1d/SmartGen-57/SmartGen-57_run_001.png
SmartGen-58_run_001,1d,1,-1.2*x1,csv/1d/SmartGen-58/SmartGen-58_run_001.csv,images/1d/SmartGen-58/SmartGen-58_run_001.png
SmartGen-59_run_001,1d,1,1.8*x1**5,csv/1d/SmartGen-59/SmartGen-59_run_001.csv,images/1d/SmartGen-59/SmartGen-59_run_001.png
SmartGen-60_run_001,1d,1,-2.5*x1**5,csv/1d/SmartGen-60/SmartGen-60_run_001.csv,images/1d/SmartGen-60/SmartGen-60_run_001.png
SmartGen-61_run_001,1d,1,-3.0*cos(x1),csv/1d/SmartGen-61/SmartGen-61_run_001.csv,images/1d/SmartGen-61/SmartGen-61_run_001.png
SmartGen-62_run_001,1d,1,1.1*sin(x1),csv/1d/SmartGen-62/SmartGen-62_run_001.csv,images/1d/SmartGen-62/SmartGen-62_run_001.png
SmartGen-63_run_001,1d,1,-2.5*x1,csv/1d/SmartGen-63/SmartGen-63_run_001.csv,images/1d/SmartGen-63/SmartGen-63_run_001.png
SmartGen-64_run_001,1d,1,3.0*cos(x1),csv/1d/SmartGen-64/SmartGen-64_run_001.csv,images/1d/SmartGen-64/SmartGen-64_run_001.png
SmartGen-65_run_001,1d,1,1.1*x1,csv/1d/SmartGen-65/SmartGen-65_run_001.csv,images/1d/SmartGen-65/SmartGen-65_run_001.png
SmartGen-66_run_001,1d,1,3.0*sqrt(abs(x1)),csv/1d/SmartGen-66/SmartGen-66_run_001.csv,images/1d/SmartGen-66/SmartGen-66_run_001.png
SmartGen-67_run_001,1d,1,2.5*x1**3,csv/1d/SmartGen-67/SmartGen-67_run_001.csv,images/1d/SmartGen-67/SmartGen-67_run_001.png
SmartGen-68_run_001,1d,1,-1.2*x1**5,csv/1d/SmartGen-68/SmartGen-68_run_001.csv,images/1d/SmartGen-68/SmartGen-68_run_001.png
SmartGen-69_run_001,1d,1,1.1*x1**3,csv/1d/SmartGen-69/SmartGen-69_run_001.csv,images/1d/SmartGen-69/SmartGen-69_run_001.png
SmartGen-70_run_001,1d,1,-2.5*x1**4,csv/1d/SmartGen-70/SmartGen-70_run_001.csv,images/1d/SmartGen-70/SmartGen-70_run_001.png
SmartGen-71_run_001,1d,1,1.8*x1,csv/1d/SmartGen-71/SmartGen-71_run_001.csv,images/1d/SmartGen-71/SmartGen-71_run_001.png
SmartGen-72_run_001,1d,1,2.5*x1,csv/1d/SmartGen-72/SmartGen-72_run_001.csv,images/1d/SmartGen-72/SmartGen-72_run_001.png
SmartGen-73_run_001,1d,1,-2.5*x1**5,csv/1d/SmartGen-73/SmartGen-73_run_001.csv,images/1d/SmartGen-73/SmartGen-73_run_001.png
SmartGen-74_run_001,1d,1,-3.0*sin(x1),csv/1d/SmartGen-74/SmartGen-74_run_001.csv,images/1d/SmartGen-74/SmartGen-74_run_001.png
SmartGen-75_run_001,1d,1,1.1*x1**2,csv/1d/SmartGen-75/SmartGen-75_run_001.csv,images/1d/SmartGen-75/SmartGen-75_run_001.png
SmartGen-76_run_001,1d,1,-2.5*x1**5,csv/1d/SmartGen-76/SmartGen-76_run_001.csv,images/1d/SmartGen-76/SmartGen-76_run_001.png
SmartGen-77_run_001,1d,1,2.5*x1**3,csv/1d/SmartGen-77/SmartGen-77_run_001.csv,images/1d/SmartGen-77/SmartGen-77_run_001.png
SmartGen-78_run_001,1d,1,2.5*sin(x1),csv/1d/SmartGen-78/SmartGen-78_run_001.csv,images/1d/SmartGen-78/SmartGen-78_run_001.png
SmartGen-79_run_001,1d,1,1.8*x1**5,csv/1d/SmartGen-79/SmartGen-79_run_001.csv,images/1d/SmartGen-79/SmartGen-79_run_001.png
SmartGen-80_run_001,1d,1,2.5*sin(x1),csv/1d/SmartGen-80/SmartGen-80_run_001.csv,images/1d/SmartGen-80/SmartGen-80_run_001.png
SmartGen-81_run_001,1d,1,1.1*x1**2,csv/1d/SmartGen-81/SmartGen-81_run_001.csv,images/1d/SmartGen-81/SmartGen-81_run_001.png
SmartGen-82_run_001,1d,1,-1.2*sin(x1),csv/1d/SmartGen-82/SmartGen-82_run_001.csv,images/1d/SmartGen-82/SmartGen-82_run_001.png
SmartGen-83_run_001,1d,1,-2.5*x1**5,csv/1d/SmartGen-83/SmartGen-83_run_001.csv,images/1d/SmartGen-83/SmartGen-83_run_001.png
SmartGen-84_run_001,1d,1,2.5*x1**2,csv/1d/SmartGen-84/SmartGen-84_run_001.csv,images/1d/SmartGen-84/SmartGen-84_run_001.png
SmartGen-85_run_001,1d,1,3.0*x1**5,csv/1d/SmartGen-85/SmartGen-85_run_001.csv,images/1d/SmartGen-85/SmartGen-85_run_001.png
SmartGen-86_run_001,1d,1,-1.2*sin(x1),csv/1d/SmartGen-86/SmartGen-86_run_001.csv,images/1d/SmartGen-86/SmartGen-86_run_001.png
SmartGen-87_run_001,1d,1,-2.5*sin(x1),csv/1d/SmartGen-87/SmartGen-87_run_001.csv,images/1d/SmartGen-87/SmartGen-87_run_001.png
SmartGen-88_run_001,1d,1,1.1*x1**5,csv/1d/SmartGen-88/SmartGen-88_run_001.csv,images/1d/SmartGen-88/SmartGen-88_run_001.png
SmartGen-89_run_001,1d,1,1.8*x1**3,csv/1d/SmartGen-89/SmartGen-89_run_001.csv,images/1d/SmartGen-89/SmartGen-89_run_001.png
SmartGen-90_run_001,1d,1,-1.2*cos(x1),csv/1d/SmartGen-90/SmartGen-90_run_001.csv,images/1d/SmartGen-90/SmartGen-90_run_001.png
SmartGen-91_run_001,1d,1,1.1*sin(x1),csv/1d/SmartGen-91/SmartGen-91_run_001.csv,images/1d/SmartGen-91/SmartGen-91_run_001.png
SmartGen-92_run_001,1d,1,1.8*x1**4,csv/1d/SmartGen-92/SmartGen-92_run_001.csv,images/1d/SmartGen-92/SmartGen-92_run_001.png
SmartGen-93_run_001,1d,1,1.1*x1**4,csv/1d/SmartGen-93/SmartGen-93_run_001.csv,images/1d/SmartGen-93/SmartGen-93_run_001.png
SmartGen-94_run_001,1d,1,3.0*x1**4,csv/1d/SmartGen-94/SmartGen-94_run_001.csv,images/1d/SmartGen-94/SmartGen-94_run_001.png
SmartGen-95_run_001,1d,1,1.1*x1,csv/1d/SmartGen-95/SmartGen-95_run_001.csv,images/1d/SmartGen-95/SmartGen-95_run_001.png
SmartGen-96_run_001,1d,1,2.5*x1**3,csv/1d/SmartGen-96/SmartGen-96_run_001.csv,images/1d/SmartGen-96/SmartGen-96_run_001.png
SmartGen-97_run_001,1d,1,1.8*cos(x1),csv/1d/SmartGen-97/SmartGen-97_run_001.csv,images/1d/SmartGen-97/SmartGen-97_run_001.png
SmartGen-98_run_001,1d,1,1.8*sin(x1),csv/1d/SmartGen-98/SmartGen-98_run_001.csv,images/1d/SmartGen-98/SmartGen-98_run_001.png
SmartGen-99_run_001,1d,1,-3.0*sin(x1),csv/1d/SmartGen-99/SmartGen-99_run_001.csv,images/1d/SmartGen-99/SmartGen-99_run_001.png
SmartGen-100_run_001,1d,1,-1.2*sin(x1),csv/1d/SmartGen-100/SmartGen-100_run_001.csv,images/1d/SmartGen-100/SmartGen-100_run_001.png
SmartGen-101_run_001,1d,1,3.0*cos(x1),csv/1d/SmartGen-101/SmartGen-101_run_001.csv,images/1d/SmartGen-101/SmartGen-101_run_001.png
SmartGen-102_run_001,1d,1,2.5*sin(x1),csv/1d/SmartGen-102/SmartGen-102_run_001.csv,images/1d/SmartGen-102/SmartGen-102_run_001.png
SmartGen-103_run_001,1d,1,1.1*sqrt(x1),csv/1d/SmartGen-103/SmartGen-103_run_001.csv,images/1d/SmartGen-103/SmartGen-103_run_001.png
SmartGen-104_run_001,1d,1,1.8*sin(x1),csv/1d/SmartGen-104/SmartGen-104_run_001.csv,images/1d/SmartGen-104/SmartGen-104_run_001.png
SmartGen-105_run_001,1d,1,2.5*x1**3,csv/1d/SmartGen-105/SmartGen-105_run_001.csv,images/1d/SmartGen-105/SmartGen-105_run_001.png
SmartGen-106_run_001,1d,1,1.8*sin(x1),csv/1d/SmartGen-106/SmartGen-106_run_001.csv,images/1d/SmartGen-106/SmartGen-106_run_001.png
SmartGen-107_run_001,1d,1,-3.0*x1**2,csv/1d/SmartGen-107/SmartGen-107_run_001.csv,images/1d/SmartGen-107/SmartGen-107_run_001.png
SmartGen-108_run_001,1d,1,1.8*exp(0.1*x1),csv/1d/SmartGen-108/SmartGen-108_run_001.csv,images/1d/SmartGen-108/SmartGen-108_run_001.png
SmartGen-109_run_001,1d,1,1.1*x1**5,csv/1d/SmartGen-109/SmartGen-109_run_001.csv,images/1d/SmartGen-109/SmartGen-109_run_001.png
SmartGen-110_run_001,1d,1,-3.0*sin(x1),csv/1d/SmartGen-110/SmartGen-110_run_001.csv,images/1d/SmartGen-110/SmartGen-110_run_001.png
SmartGen-111_run_001,1d,1,-2.5*sin(x1),csv/1d/SmartGen-111/SmartGen-111_run_001.csv,images/1d/SmartGen-111/SmartGen-111_run_001.png
SmartGen-112_run_001,1d,1,1.1*log(abs(x1)+1),csv/1d/SmartGen-112/SmartGen-112_run_001.csv,images/1d/SmartGen-112/SmartGen-112_run_001.png
SmartGen-113_run_001,1d,1,-1.2*x1**5,csv/1d/SmartGen-113/SmartGen-113_run_001.csv,images/1d/SmartGen-113/SmartGen-113_run_001.png
SmartGen-114_run_001,1d,1,-3.0*x1,csv/1d/SmartGen-114/SmartGen-114_run_001.csv,images/1d/SmartGen-114/SmartGen-114_run_001.png
SmartGen-115_run_001,1d,1,-3.0*sin(x1),csv/1d/SmartGen-115/SmartGen-115_run_001.csv,images/1d/SmartGen-115/SmartGen-115_run_001.png
SmartGen-116_run_001,1d,1,-1.2*x1**4,csv/1d/SmartGen-116/SmartGen-116_run_001.csv,images/1d/SmartGen-116/SmartGen-116_run_001.png
SmartGen-117_run_001,1d,1,1.8*x1**3,csv/1d/SmartGen-117/SmartGen-117_run_001.csv,images/1d/SmartGen-117/SmartGen-117_run_001.png
SmartGen-118_run_001,1d,1,1.1*sin(x1),csv/1d/SmartGen-118/SmartGen-118_run_001.csv,images/1d/SmartGen-118/SmartGen-118_run_001.png
SmartGen-119_run_001,1d,1,2.5*x1,csv/1d/SmartGen-119/SmartGen-119_run_001.csv,images/1d/SmartGen-119/SmartGen-119_run_001.png
SmartGen-120_run_001,1d,1,-3.0*x1**3,csv/1d/SmartGen-120/SmartGen-120_run_001.csv,images/1d/SmartGen-120/SmartGen-120_run_001.png
SmartGen-121_run_001,1d,1,2.5*x1**2,csv/1d/SmartGen-121/SmartGen-121_run_001.csv,images/1d/SmartGen-121/SmartGen-121_run_001.png
SmartGen-122_run_001,1d,1,1.1*x1**3,csv/1d/SmartGen-122/SmartGen-122_run_001.csv,images/1d/SmartGen-122/SmartGen-122_run_001.png
SmartGen-123_run_001,1d,1,-1.2*x1**4,csv/1d/SmartGen-123/SmartGen-123_run_001.csv,images/1d/SmartGen-123/SmartGen-123_run_001.png
SmartGen-124_run_001,1d,1,3.0*x1**4,csv/1d/SmartGen-124/SmartGen-124_run_001.csv,images/1d/SmartGen-124/SmartGen-124_run_001.png
SmartGen-125_run_001,1d,1,3.0*sin(x1),csv/1d/SmartGen-125/SmartGen-125_run_001.csv,images/1d/SmartGen-125/SmartGen-125_run_001.png
SmartGen-126_run_001,1d,1,2.5*x1**5,csv/1d/SmartGen-126/SmartGen-126_run_001.csv,images/1d/SmartGen-126/SmartGen-126_run_001.png
SmartGen-127_run_001,1d,1,2.5*sin(x1),csv/1d/SmartGen-127/SmartGen-127_run_001.csv,images/1d/SmartGen-127/SmartGen-127_run_001.png
SmartGen-128_run_001,1d,1,-2.5*sin(x1),csv/1d/SmartGen-128/SmartGen-128_run_001.csv,images/1d/SmartGen-128/SmartGen-128_run_001.png
SmartGen-129_run_001,1d,1,-3.0*x1**5,csv/1d/SmartGen-129/SmartGen-129_run_001.csv,images/1d/SmartGen-129/SmartGen-129_run_001.png
SmartGen-130_run_001,1d,1,-1.2*x1**5,csv/1d/SmartGen-130/SmartGen-130_run_001.csv,images/1d/SmartGen-130/SmartGen-130_run_001.png
SmartGen-131_run_001,1d,1,3.0*sin(x1),csv/1d/SmartGen-131/SmartGen-131_run_001.csv,images/1d/SmartGen-131/SmartGen-131_run_001.png
SmartGen-132_run_001,1d,1,-2.5*x1,csv/1d/SmartGen-132/SmartGen-132_run_001.csv,images/1d/SmartGen-132/SmartGen-132_run_001.png
SmartGen-133_run_001,1d,1,1.8*x1,csv/1d/SmartGen-133/SmartGen-133_run_001.csv,images/1d/SmartGen-133/SmartGen-133_run_001.png
SmartGen-134_run_001,1d,1,1.8*x1**2,csv/1d/SmartGen-134/SmartGen-134_run_001.csv,images/1d/SmartGen-134/SmartGen-134_run_001.png
SmartGen-135_run_001,1d,1,2.5*cos(x1),csv/1d/SmartGen-135/SmartGen-135_run_001.csv,images/1d/SmartGen-135/SmartGen-135_run_001.png
SmartGen-136_run_001,1d,1,-2.5*sin(x1),csv/1d/SmartGen-136/SmartGen-136_run_001.csv,images/1d/SmartGen-136/SmartGen-136_run_001.png
SmartGen-137_run_001,1d,1,-2.5*sin(x1),csv/1d/SmartGen-137/SmartGen-137_run_001.csv,images/1d/SmartGen-137/SmartGen-137_run_001.png
SmartGen-138_run_001,1d,1,-2.5*x1**3,csv/1d/SmartGen-138/SmartGen-138_run_001.csv,images/1d/SmartGen-138/SmartGen-138_run_001.png
SmartGen-139_run_001,1d,1,2.5*cos(x1),csv/1d/SmartGen-139/SmartGen-139_run_001.csv,images/1d/SmartGen-139/SmartGen-139_run_001.png
SmartGen-140_run_001,1d,1,1.1*x1,csv/1d/SmartGen-140/SmartGen-140_run_001.csv,images/1d/SmartGen-140/SmartGen-140_run_001.png
SmartGen-141_run_001,1d,1,1.8*x1**4,csv/1d/SmartGen-141/SmartGen-141_run_001.csv,images/1d/SmartGen-141/SmartGen-141_run_001.png
SmartGen-142_run_001,1d,1,-1.2*x1**3,csv/1d/SmartGen-142/SmartGen-142_run_001.csv,images/1d/SmartGen-142/SmartGen-142_run_001.png
SmartGen-143_run_001,1d,1,-1.2*x1**4,csv/1d/SmartGen-143/SmartGen-143_run_001.csv,images/1d/SmartGen-143/SmartGen-143_run_001.png
SmartGen-144_run_001,1d,1,1.8*sin(x1),csv/1d/SmartGen-144/SmartGen-144_run_001.csv,images/1d/SmartGen-144/SmartGen-144_run_001.png
SmartGen-145_run_001,1d,1,2.5*x1**4,csv/1d/SmartGen-145/SmartGen-145_run_001.csv,images/1d/SmartGen-145/SmartGen-145_run_001.png
SmartGen-146_run_001,1d,1,-1.2*x1**5,csv/1d/SmartGen-146/SmartGen-146_run_001.csv,images/1d/SmartGen-146/SmartGen-146_run_001.png
SmartGen-147_run_001,1d,1,-2.5*x1**4,csv/1d/SmartGen-147/SmartGen-147_run_001.csv,images/1d/SmartGen-147/SmartGen-147_run_001.png
SmartGen-148_run_001,1d,1,1.8*x1**5,csv/1d/SmartGen-148/SmartGen-148_run_001.csv,images/1d/SmartGen-148/SmartGen-148_run_001.png
SmartGen-149_run_001,1d,1,3.0*cos(x1),csv/1d/SmartGen-149/SmartGen-149_run_001.csv,images/1d/SmartGen-149/SmartGen-149_run_001.png
SmartGen-150_run_001,1d,1,-3.0*cos(x1),csv/1d/SmartGen-150/SmartGen-150_run_001.csv,images/1d/SmartGen-150/SmartGen-150_run_001.png
SmartGen-151_run_001,1d,1,1.8*x1**3,csv/1d/SmartGen-151/SmartGen-151_run_001.csv,images/1d/SmartGen-151/SmartGen-151_run_001.png
SmartGen-152_run_001,1d,1,2.5*sin(x1),csv/1d/SmartGen-152/SmartGen-152_run_001.csv,images/1d/SmartGen-152/SmartGen-152_run_001.png
SmartGen-153_run_001,1d,1,3.0*cos(x1),csv/1d/SmartGen-153/SmartGen-153_run_001.csv,images/1d/SmartGen-153/SmartGen-153_run_001.png
SmartGen-154_run_001,1d,1,3.0*x1**4,csv/1d/SmartGen-154/SmartGen-154_run_001.csv,images/1d/SmartGen-154/SmartGen-154_run_001.png
SmartGen-155_run_001,1d,1,-1.2*sin(x1),csv/1d/SmartGen-155/SmartGen-155_run_001.csv,images/1d/SmartGen-155/SmartGen-155_run_001.png
SmartGen-156_run_001,1d,1,-1.2*cos(x1),csv/1d/SmartGen-156/SmartGen-156_run_001.csv,images/1d/SmartGen-156/SmartGen-156_run_001.png
SmartGen-157_run_001,1d,1,3.0*x1**2,csv/1d/SmartGen-157/SmartGen-157_run_001.csv,images/1d/SmartGen-157/SmartGen-157_run_001.png
SmartGen-158_run_001,1d,1,3.0*x1**4,csv/1d/SmartGen-158/SmartGen-158_run_001.csv,images/1d/SmartGen-158/SmartGen-158_run_001.png
SmartGen-159_run_001,1d,1,-3.0*exp(0.1*x1),csv/1d/SmartGen-159/SmartGen-159_run_001.csv,images/1d/SmartGen-159/SmartGen-159_run_001.png
SmartGen-160_run_001,1d,1,1.1*sin(x1),csv/1d/SmartGen-160/SmartGen-160_run_001.csv,images/1d/SmartGen-160/SmartGen-160_run_001.png
SmartGen-161_run_001,1d,1,2.5*sin(x1),csv/1d/SmartGen-161/SmartGen-161_run_001.csv,images/1d/SmartGen-161/SmartGen-161_run_001.png
SmartGen-162_run_001,1d,1,-2.5*sin(x1),csv/1d/SmartGen-162/SmartGen-162_run_001.csv,images/1d/SmartGen-162/SmartGen-162_run_001.png
SmartGen-163_run_001,1d,1,1.8*sin(x1),csv/1d/SmartGen-163/SmartGen-163_run_001.csv,images/1d/SmartGen-163/SmartGen-163_run_001.png
SmartGen-164_run_001,1d,1,-2.5*sin(x1),csv/1d/SmartGen-164/SmartGen-164_run_001.csv,images/1d/SmartGen-164/SmartGen-164_run_001.png
SmartGen-165_run_001,1d,1,1.1*x1**4,csv/1d/SmartGen-165/SmartGen-165_run_001.csv,images/1d/SmartGen-165/SmartGen-165_run_001.png
SmartGen-166_run_001,1d,1,1.1*x1**2,csv/1d/SmartGen-166/SmartGen-166_run_001.csv,images/1d/SmartGen-166/SmartGen-166_run_001.png
SmartGen-167_run_001,1d,1,-2.5*x1,csv/1d/SmartGen-167/SmartGen-167_run_001.csv,images/1d/SmartGen-167/SmartGen-167_run_001.png
SmartGen-168_run_001,1d,1,3.0*sin(x1),csv/1d/SmartGen-168/SmartGen-168_run_001.csv,images/1d/SmartGen-168/SmartGen-168_run_001.png
